OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_WHITE_NH,COUNT_BLACK_NH,COUNT_ASIAN_NH,COUNT_HISPANIC,PERCENT_WHITE_NH,PERCENT_BLACK_NH,PERCENT_ASIAN_NH,PERCENT_HISPANIC,Shape__Area,Shape__Length
158,42101016500,2010,Census tract,2758,42,2467,12,205,1.52284264,89.448876,0.4350979,7.43292241,673228.53515625,3799.97965732691
159,42101016600,2010,Census tract,1788,249,1327,58,109,13.9261745,74.21700224,3.24384787,6.09619687,445350.54296875,3331.80303677317
160,42101016701,2010,Census tract,3055,58,2857,4,68,1.898527,93.5188216,0.1309329,2.22585925,433321.68359375,3215.22180895992
161,42101016702,2010,Census tract,2903,178,2544,35,85,6.13158801,87.6334826,1.20564933,2.92800551,605694.61328125,3326.52756451634
162,42101016800,2010,Census tract,3935,42,3730,15,84,1.06734435,94.79034307,0.38119441,2.13468869,991501.46484375,4375.75959451503
163,42101016901,2010,Census tract,3466,26,3295,9,71,0.75014426,95.06635892,0.25966532,2.04847086,874893.74609375,3908.43228184524
164,42101016902,2010,Census tract,5524,26,5288,2,109,0.47067343,95.72773353,0.03620565,1.97320782,961568.03125,4067.20933436082
165,42101017000,2010,Census tract,2953,533,2198,55,129,18.04944125,74.43278022,1.8625127,4.36843888,2764059.00390625,7709.55002437568
166,42101017100,2010,Census tract,4047,34,3871,2,81,0.84012849,95.65109958,0.04941932,2.00148258,1946094.48046875,6674.44190309329
167,42101017201,2010,Census tract,3194,25,3037,10,74,0.7827176,95.0845335,0.31308704,2.31684408,448625.9140625,3333.14348551283
168,42101017202,2010,Census tract,4056,18,3862,7,112,0.44378698,95.21696252,0.17258383,2.76134122,495704.828125,3134.96838979466
169,42101017300,2010,Census tract,3165,87,2878,22,129,2.74881517,90.93206951,0.69510269,4.07582938,1492162.40234375,5638.26945712479
170,42101017400,2010,Census tract,2419,25,2185,12,158,1.03348491,90.32658123,0.49607276,6.53162464,603870.32421875,3097.31562103564
171,42101017500,2010,Census tract,7016,99,1814,21,5025,1.41106043,25.85518814,0.29931585,71.62200684,1238756.30859375,4844.33793325215
172,42101017601,2010,Census tract,5562,116,305,26,5074,2.08558073,5.48363898,0.46745775,91.22617763,991242.1875,4461.47105269937
173,42101017602,2010,Census tract,3914,170,487,42,3199,4.34338273,12.44251405,1.07307103,81.73224323,679736.80078125,4217.96167461408
174,42101017701,2010,Census tract,3705,310,1019,122,2177,8.36707152,27.50337382,3.2928475,58.75843455,411106.078125,3092.91865199571
175,42101017702,2010,Census tract,5076,468,876,125,3535,9.21985816,17.25768322,2.46256895,69.64144996,834701.0859375,3897.49138966516
176,42101017800,2010,Census tract,6704,1324,1695,193,3370,19.74940334,25.28341289,2.87887828,50.26849642,1130609.05859375,4772.17993714497
177,42101017900,2010,Census tract,6313,2624,1272,60,2196,41.56502455,20.1488991,0.95041977,34.78536354,1217754.12890625,5210.83559348814
178,42101018001,2010,Census tract,2586,2298,52,26,176,88.86310905,2.01082753,1.00541377,6.8058778,660550.37109375,3489.27724962693
179,42101018002,2010,Census tract,5451,5150,33,29,187,94.47807742,0.60539351,0.53201247,3.4305632,749961.77734375,3743.99781936877
180,42101018300,2010,Census tract,4313,4126,24,16,91,95.66427081,0.55645722,0.37097148,2.1099003,3314647.22265625,9430.2734246639
181,42101018400,2010,Census tract,2260,2109,8,16,84,93.31858407,0.3539823,0.7079646,3.71681416,3819744.28125,10492.8950500178
182,42101018800,2010,Census tract,8322,2046,2146,88,3865,24.58543619,25.78707042,1.05743812,46.4431627,1131692.38671875,4472.19139422386
183,42101019000,2010,Census tract,7543,1296,1559,342,4209,17.18149277,20.66816916,4.53400504,55.80007954,1350244.21875,5483.87473387171
184,42101019100,2010,Census tract,7937,1520,860,847,4602,19.15081265,10.83532821,10.67153836,57.98160514,2491484.7890625,7728.47075014006
185,42101019200,2010,Census tract,7972,825,1712,263,5070,10.34872052,21.47516307,3.29904666,63.59759157,1120759.42578125,5638.1481818065
186,42101019501,2010,Census tract,4927,217,536,33,4100,4.40430282,10.87883093,0.66977877,83.2149381,672001.69921875,3868.21543228085
187,42101019502,2010,Census tract,3675,196,335,20,3096,5.33333333,9.11564626,0.54421769,84.24489796,631817.765625,3722.36934856475
188,42101019700,2010,Census tract,7001,160,2188,94,4477,2.2853878,31.25267819,1.34266533,63.94800743,768830.20703125,3791.74418903775
189,42101019800,2010,Census tract,6195,103,2005,157,3868,1.66263115,32.36481033,2.53430186,62.43744956,923440.6796875,4189.5178383324
190,42101019900,2010,Census tract,4419,100,1643,9,2622,2.26295542,37.18035755,0.20366599,59.33469111,1129508.2421875,4314.96256694531
191,42101020000,2010,Census tract,1265,88,1006,79,70,6.95652174,79.5256917,6.24505929,5.53359684,540305.859375,4048.13261115754
192,42101020101,2010,Census tract,3547,71,3229,36,139,2.00169157,91.03467719,1.0149422,3.91880462,825115.44921875,4116.54706381012
193,42101020102,2010,Census tract,3353,48,3075,13,145,1.43155383,91.70891739,0.3877125,4.32448554,636788.3515625,3460.11557500992
194,42101020200,2010,Census tract,5189,135,4802,12,122,2.60165735,92.54191559,0.23125843,2.35112738,1291571.7734375,5104.43391016897
195,42101020300,2010,Census tract,2769,106,2397,21,181,3.82809679,86.56554713,0.75839653,6.53665583,867222.25390625,5262.76004869772
196,42101020400,2010,Census tract,3050,49,2801,16,122,1.60655738,91.83606557,0.52459016,4,695455.90625,3715.32612290067
197,42101020500,2010,Census tract,2819,94,2532,100,50,3.33451579,89.81908478,3.54735722,1.77367861,2439908.4140625,6895.62367753543
198,42101020600,2010,Census tract,1819,953,598,142,84,52.39142386,32.87520616,7.80648708,4.61792194,2309274.33984375,6123.43004376201
199,42101020700,2010,Census tract,5841,4540,759,195,195,77.72641671,12.99435028,3.33846944,3.33846944,2586516.6328125,7806.87317246502
200,42101020800,2010,Census tract,1971,1068,583,161,104,54.18569254,29.57889396,8.16844242,5.27650939,1505192.203125,7761.80430813551
201,42101020900,2010,Census tract,2910,2531,119,88,90,86.97594502,4.08934708,3.02405498,3.09278351,933357.140625,5261.1554388147
