OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8793,42,101,003200,2003,421010032002003,Block 2003,G5040, , ,S,6795,0,+39.9326943,-075.1838478,378.20634044,73132.7544555664,1241.57406455461
8794,42,101,003200,3014,421010032003014,Block 3014,G5040, , ,S,6288,0,+39.9302568,-075.1844165,364.79368709,67679.8016357422,1197.55090618438
8795,42,101,003200,3008,421010032003008,Block 3008,G5040, , ,S,5975,0,+39.9306424,-075.1842866,367.46666439,64348.3579711914,1206.55523647011
8796,42,101,003800,1002,421010038001002,Block 1002,G5040, , ,S,5959,0,+39.9211393,-075.1793782,364.61627011,64002.684387207,1196.36196189248
8797,42,101,003902,4000,421010039024000,Block 4000,G5040, , ,S,6650,0,+39.9192251,-075.1744396,375.53311566,71665.6848754883,1233.06835269155
8798,42,101,003902,1006,421010039021006,Block 1006,G5040, , ,S,6591,0,+39.9191513,-075.1738970,374.94443211,70874.6867675781,1230.34045624953
8799,42,101,003100,1015,421010031001015,Block 1015,G5040, , ,S,5648,0,+39.9340360,-075.1749883,354.1088715,60880.7390136719,1162.3652540262
8800,42,101,003002,3003,421010030023003,Block 3003,G5040, , ,S,6699,0,+39.9331044,-075.1740834,372.6167738,72108.1871948242,1223.0282291032
8801,42,101,003701,1008,421010037011008,Block 1008,G5040, , ,S,5530,0,+39.9271397,-075.1764775,352.29755477,59591.7776489258,1156.61617691476
8802,42,101,003702,1001,421010037021001,Block 1001,G5040, , ,S,6472,0,+39.9247479,-075.1775278,370.5906598,69652.2678833008,1216.41863641317
8803,42,101,003702,1016,421010037021016,Block 1016,G5040, , ,S,5631,0,+39.9232839,-075.1827417,373.85189946,60763.2192382813,1227.70517615965
8804,42,101,003901,1004,421010039011004,Block 1004,G5040, , ,S,6089,0,+39.9257192,-075.1719411,360.00729537,65476.674987793,1180.94156275544
