TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101008400,"(39.95798994790, -75.2354680687)",39.95798994790, -75.2354680687,75,72,89
42101008500,"(39.95688207620, -75.2265389370)",39.95688207620, -75.2265389370,92,73,92
42101008601,"(39.95373406040, -75.2165930014)",39.95373406040, -75.2165930014,93,82,99
42101008602,"(39.95697247610, -75.2167029991)",39.95697247610, -75.2167029991,91,80,96
42101008701,"(39.95356574010, -75.2104987663)",39.95356574010, -75.2104987663,96,86,92
42101008702,"(39.95381150980, -75.2070434802)",39.95381150980, -75.2070434802,96,88,94
42101008801,"(39.95393196660, -75.1984476722)",39.95393196660, -75.1984476722,96,93,96
42101008802,"(39.95298081830, -75.2027892423)",39.95298081830, -75.2027892423,95,89,97
42101009000,"(39.95951167730, -75.1906245246)",39.95951167730, -75.1906245246,93,96,96
42101009100,"(39.95941793660, -75.1977244762)",39.95941793660, -75.1977244762,87,91,98
42101009200,"(39.96016079280, -75.2074722742)",39.96016079280, -75.2074722742,83,88,98
42101009300,"(39.96229139470, -75.2240225504)",39.96229139470, -75.2240225504,80,72,85
42101009400,"(39.96327088150, -75.2322437437)",39.96327088150, -75.2322437437,80,71,85
42101009500,"(39.96587097860, -75.2379139311)",39.96587097860, -75.2379139311,69,72,80
42101009600,"(39.96553958820, -75.2435074710)",39.96553958820, -75.2435074710,65,72,75
42101009801,"(39.97751721700, -75.2665972674)",39.97751721700, -75.2665972674,86,48,57
42101009802,"(39.97458783200, -75.2679037822)",39.97458783200, -75.2679037822,79,50,46
42101010000,"(39.97108341890, -75.2503759908)",39.97108341890, -75.2503759908,79,78,49
42101010100,"(39.97213960520, -75.2425290211)",39.97213960520, -75.2425290211,81,70,58
42101010200,"(39.96808298900, -75.2316701504)",39.96808298900, -75.2316701504,74,72,79
42101010300,"(39.96783223640, -75.2254383672)",39.96783223640, -75.2254383672,77,72,74
42101010400,"(39.96549964420, -75.2191193677)",39.96549964420, -75.2191193677,56,72,78
42101010500,"(39.96656538030, -75.2142017554)",39.96656538030, -75.2142017554,40,72,79
42101010600,"(39.96463274520, -75.2079213173)",39.96463274520, -75.2079213173,59,71,89
42101010700,"(39.96874751880, -75.2069442642)",39.96874751880, -75.2069442642,76,67,72
42101010800,"(39.96602173010, -75.1989890213)",39.96602173010, -75.1989890213,68,63,87
42101010900,"(39.96492864170, -75.1917649993)",39.96492864170, -75.1917649993,87,63,98
42101011000,"(39.97372901330, -75.2062951629)",39.97372901330, -75.2062951629,63,63,82
42101011100,"(39.97520032960, -75.2215744559)",39.97520032960, -75.2215744559,85,67,72
42101011200,"(39.97360414740, -75.2336533093)",39.97360414740, -75.2336533093,76,69,66
42101011300,"(39.97865544060, -75.2353346301)",39.97865544060, -75.2353346301,75,68,61
42101011400,"(39.98073882950, -75.2440178089)",39.98073882950, -75.2440178089,71,67,57
42101011500,"(39.97736872760, -75.2518303032)",39.97736872760, -75.2518303032,65,65,59
42101011700,"(39.99190697480, -75.2404369514)",39.99190697480, -75.2404369514,51,65,67
42101011800,"(39.98528902180, -75.2357396856)",39.98528902180, -75.2357396856,49,64,71
42101011900,"(39.98611438200, -75.2288429701)",39.98611438200, -75.2288429701,52,57,82
42101012000,"(39.99553232390, -75.2297466322)",39.99553232390, -75.2297466322,72,57,60
42101012100,"(39.99596187490, -75.2226364681)",39.99596187490, -75.2226364681,33,53,57
42101012201,"(40.00417765640, -75.2089460874)",40.00417765640, -75.2089460874,58,53,55
42101012203,"(40.00746682350, -75.2093525743)",40.00746682350, -75.2093525743,49,61,45
42101012204,"(40.00081524630, -75.2134579842)",40.00081524630, -75.2134579842,63,50,59
42101012500,"(39.96138114980, -75.1718436019)",39.96138114980, -75.1718436019,95,100,92
42101013100,"(39.96513123140, -75.1507381462)",39.96513123140, -75.1507381462,85,81,87
42101013200,"(39.96620427770, -75.1571335444)",39.96620427770, -75.1571335444,86,83,89
42101013300,"(39.96661268170, -75.1629454869)",39.96661268170, -75.1629454869,90,84,90
42101013401,"(39.96595742070, -75.1752507144)",39.96595742070, -75.1752507144,91,70,94
42101013402,"(39.96536231030, -75.1690325610)",39.96536231030, -75.1690325610,90,80,96
42101013500,"(39.96935638710, -75.1700366976)",39.96935638710, -75.1700366976,89,78,91
42101013601,"(39.96896964470, -75.1785774695)",39.96896964470, -75.1785774695,92,65,91
42101013602,"(39.97157136990, -75.1798097256)",39.97157136990, -75.1798097256,91,61,91
42101013700,"(39.97727518900, -75.1842323618)",39.97727518900, -75.1842323618,75,60,85
42101013800,"(39.97645045470, -75.1771771157)",39.97645045470, -75.1771771157,81,64,72
42101013900,"(39.97505630200, -75.1711845603)",39.97505630200, -75.1711845603,78,72,73
42101014000,"(39.97353580450, -75.1630966321)",39.97353580450, -75.1630966321,80,79,77
42101014100,"(39.97087702710, -75.1524555966)",39.97087702710, -75.1524555966,89,79,80
42101014200,"(39.96516322880, -75.1360194012)",39.96516322880, -75.1360194012,89,67,90
42101014300,"(39.96779453990, -75.1261066297)",39.96779453990, -75.1261066297,65,61,92
42101014400,"(39.97222862460, -75.1400952818)",39.97222862460, -75.1400952818,96,70,82
42101014500,"(39.97607152090, -75.1484188501)",39.97607152090, -75.1484188501,71,85,75
42101014600,"(39.97643049780, -75.1546990145)",39.97643049780, -75.1546990145,87,85,80
42101014700,"(39.97854888490, -75.1620244278)",39.97854888490, -75.1620244278,83,82,76
