"","TractFIPS","Population2010","ACCESS2_CrudePrev","ARTHRITIS_CrudePrev","BINGE_CrudePrev","BPHIGH_CrudePrev","BPMED_CrudePrev","CANCER_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","CHECKUP_CrudePrev","CHOLSCREEN_CrudePrev","COLON_SCREEN_CrudePrev","COPD_CrudePrev","COREM_CrudePrev","COREW_CrudePrev","CSMOKING_CrudePrev","DENTAL_CrudePrev","DIABETES_CrudePrev","HIGHCHOL_CrudePrev","KIDNEY_CrudePrev","LPA_CrudePrev","MAMMOUSE_CrudePrev","MHLTH_CrudePrev","OBESITY_CrudePrev","PAPTEST_CrudePrev","PHLTH_CrudePrev","SLEEP_CrudePrev","STROKE_CrudePrev","TEETHLOST_CrudePrev","YEAR","COUNT_ALL_RACES_ETHNICITIES","COUNT_WHITE_NH","COUNT_BLACK_NH","COUNT_ASIAN_NH","COUNT_HISPANIC","PERCENT_WHITE_NH","PERCENT_BLACK_NH","PERCENT_ASIAN_NH","PERCENT_HISPANIC","HSI_SCORE","HEI_SCORE","HVI_SCORE","N_VERYHIGH","sumTOTAL_LPSS","avgLPSS_PER1000","sumTOTAL_HPSS","avgHPSS_PER1000","avgPCT_HPSS","avgPCT_VEHICLE_AVAIL","sumTOTAL_RESTAURANTS","avgPCT_POVERTY","sumTOTAL_UNITS","lat","lon","walk_score","transit_score","bike_score","gini","n_hospitals","pct_hosp"
"312","42101033600",6866,11.4,26,22.5,29.9,74.4,6.6,10.4,6.5,70.8,78,63.5,7.3,43.3,31.1,23.1,60.9,10.3,32.2,2.9,26.4,77.6,15.1,28.1,79.4,13.9,38.4,3.2,15.7,2010,6866,4836,550,551,679,70.43402272,8.01048645,8.02505098,9.88930964,0.00623433,-0.42277805,-0.23441389,"0",82,13.038071408,9,1.444426926,9.838345864,84.641612558,23,14.83187273,NA,40.0614785481,-75.0592350316,79,53,72,0.406,NA,NA
"313","42101033701",5128,12.1,32.8,18.1,36.8,80.4,9.2,10.2,9.9,74.1,80.2,63.1,9.6,42.7,28.4,21.7,59.1,13.2,37.2,4,29.7,76.6,14.6,28.1,79.6,16.4,36.2,4.8,18.2,2010,5128,3870,250,364,502,75.46801872,4.87519501,7.09828393,9.78939158,0.51967319,3.0264368,3.08108938,"1",32,5.69263459666667,6,1.03395175666667,15.8730158766667,80.4267541266667,8,14.1152604066667,NA,40.0672106762,-75.0482983533,59,56,60,0.51,1,0.0277777777777778
"314","42101033702",5175,11.3,28,20.8,32,76.8,7.3,10.1,7.3,72.3,79.5,63.4,7.7,43.9,31.3,22.2,61.6,11.2,34.1,3.1,27,77.2,14.4,27,78.2,14.3,37.8,3.6,15.8,2010,5175,3624,401,635,407,70.02898551,7.74879227,12.2705314,7.8647343,0.06812578,0.85596096,0.38919039,"0",31,5.9509568725,5,0.9501191325,14.47420635,91.780631935,0,9.5180444425,NA,40.0707531708,-75.0578210754,48,45,63,0.346,NA,NA
"315","42101033800",6040,10.1,27.7,22.7,31.1,76.2,7.7,10,6.9,72.5,80.3,65.5,7.1,45.2,31.8,20.8,63.6,10,32.8,3,25,77.2,13.7,26.8,79.6,13.1,37.6,3.3,14.7,2010,6040,4549,511,284,508,75.31456954,8.4602649,4.70198675,8.41059603,0.10916671,0.19674651,0.16281805,"0",60,16.866734058,7,2.151005874,10.56722689,84.699760644,13,16.352140054,NA,40.0626481031,-75.0736438803,52,52,53,0.451,NA,NA
"316","42101033900",2924,11.2,27.3,22.9,30.4,74.6,7.1,10.6,6.9,70.9,78.4,62.2,7.7,42.7,30.6,23.2,59.9,10.2,32.7,3,26,77.3,15.2,28.1,79.8,14.3,38.1,3.4,16.9,2010,2924,2243,213,116,273,76.70998632,7.28454172,3.96716826,9.33652531,-1.34205214,0.56584359,-0.68391165,"0",36,11.03168349,0,0,0,92.5261431966667,2,12.6011160966667,NA,40.068556024,-75.0873419673,57,54,38,0.371,2,0.0555555555555556
"317","42101034000",2872,9,28.8,22,31.5,77.4,8,9.8,7,73,81.9,66.2,7.1,46.3,32.8,19.7,64.9,10.3,34.2,3,24,77.2,13.1,26,79.6,13,36.5,3.3,13.9,2010,2872,2317,98,207,202,80.67548747,3.41225627,7.20752089,7.03342618,-0.74953697,0.75950525,0.2734644,"0",24,9.53162595,2,0.568056993333333,8.46560846666667,95.60146539,3,13.1124907833333,NA,40.0711322707,-75.0733725964,65,48,59,0.376,NA,NA
"318","42101034100",5577,8.9,26,24.2,28.4,74.3,7.2,10,5.9,71.3,80.2,67.8,6.5,47.7,34.7,20.6,67.6,8.7,31.5,2.6,23.1,78,13.6,26.1,80.6,12.2,36.3,2.8,12.2,2010,5577,4751,262,191,272,85.1891698,4.69786624,3.42478035,4.87717411,-0.49693197,-1.44589209,-1.71591039,"0",42,7.47673000166667,0,0,0,87.131229535,12,9.06125619333333,6,40.076341552,-75.0806937901,80,49,57,0.387,NA,NA
"319","42101034200",3399,8.6,36.7,16.4,39.7,83.7,11.8,9.7,10.4,78.1,85.3,69.7,8.9,46.6,31.3,16.3,67.1,12.9,38.8,4.1,26.4,78.1,11.7,25.2,80.4,14.8,33.3,4.9,13.9,2010,3399,2829,277,144,117,83.23036187,8.14945572,4.23654016,3.44218888,-1.55429368,1.71768171,0.54497378,"0",4,0.90211998,0,0,0,89.20398288,1,13.57518204,NA,40.0825946693,-75.0721585786,25,39,28,0.408,NA,NA
"320","42101034400",7662,7.5,28.6,21.1,31.2,78.7,8.6,9.2,6.8,74.6,84.4,71,6.2,49.7,36.7,16.2,72.4,9.9,34.4,2.8,21.6,78.5,11.2,23.3,79.6,11.6,34.6,3.1,9.7,2010,7662,6049,211,939,344,78.94805534,2.75385017,12.25528583,4.48968938,-1.52070665,-0.04382143,-1.56508511,"0",25,3.7702248325,2,0.339787935,4.7727272725,92.7035920625,8,5.727696085,NA,40.0940000114,-75.0548331681,7,38,22,0.425,NA,NA
"321","42101034501",3370,10.8,35.5,15.2,40.3,83.5,10.9,9.5,10.9,77.5,83.6,65.1,9.3,43.8,29.2,18,60.4,14.3,38.9,4.3,29.3,76.8,12.3,26,78.3,15.7,36.1,5.2,16.9,2010,3370,2325,298,502,184,68.99109792,8.84272997,14.89614243,5.45994065,-0.97185084,2.78355535,2.06936659,"1",17,4.812871625,2,0.55900737,10.795454545,68.864201185,1,21.525109485,NA,40.074909242,-75.0392088466,67,53,65,0.486,NA,NA
